ano,pib_real_pwt,capital_real_pwt,parcela_trabalho,ocupados,populacao,capital_humano,horas_por_ocupado,capital_liquido,depreciacao,investimento_bruto,capital_produto,pib_nominal,consumo_governo,consumo_familias,fbcf_nominal
1950,173400.5,582001.25,0.5256935954,15.60580063,53.27068428,1.300443888,2363.55,869405.3429,55424.91587,,1.591206,1.023636364e-10,1.170909091e-11,,1.309090909e-11
1951,181892.0938,624939.125,0.5256935954,16.06113243,54.8181363,1.308093429,2373.99,949823.9223,59289.05793,,1.657188,1.268363636e-10,1.385454545e-11,,1.96e-11
1952,199188.3438,673337.375,0.5256935954,16.53336716,56.41997774,1.31578815,2384.48,1032845.226,64896.35184,,1.679438,1.491636364e-10,1.64e-11,,2.210909091e-11
1953,209310.9219,703590.25,0.5256935954,17.02382088,58.07841018,1.323527932,2395.01,1107031.146,71272.73008,,1.719262,1.78e-10,2.363636364e-11,,2.68e-11
1954,226481.7969,743932.0625,0.5256935954,17.53267288,59.79571506,1.331313372,2405.59,1204845.974,71750.5951,,1.735781,2.440727273e-10,2.738181818e-11,,3.847272727e-11
1955,241101.5469,781589.0625,0.5256935954,18.06168175,61.57428409,1.339144588,2416.21,1278989.656,77682.6435,,1.693564,2.962545455e-10,3.418181818e-11,,3.996363636e-11
1956,249853.7031,813658.1875,0.5256935954,18.60910606,63.4267374,1.350346684,2426.88,1365141.334,80709.73752,,1.756697,3.741454545e-10,4.741818182e-11,,5.410909091e-11
1957,274940.4062,866949.0625,0.5256935954,19.17686462,65.3397248,1.36164248,2437.6,1467632.862,83556.5151,,1.753561,4.541818182e-10,5.552727273e-11,,6.832727273e-11
1958,292487.0312,916122.6875,0.5256935954,19.76792145,67.31537183,1.373032689,2448.37,1591225.841,87709.74293,,1.715914,5.654545455e-10,6.563636364e-11,,9.603636364e-11
1959,315040.7812,983107.375,0.5256935954,20.38308334,69.35588766,1.384518266,2459.18,1737617.648,94840.8867,,1.706536,8.434909091e-10,9.054545455e-11,,1.517090909e-10
1960,339493.7812,1041793.688,0.5256935954,21.02273941,71.46354615,1.396099925,2470.04,1892433.718,101156.7394,,1.698888,1.157309091e-09,1.333454545e-10,,1.819272727e-10
1961,387271.4688,1107400.625,0.5256935954,21.5700264,73.59474144,1.406593204,2471.31,2005551.565,112865.5495,,1.657861,1.691927273e-09,1.956e-10,,2.217454545e-10
1962,407305.25,1174712.625,0.5256935954,22.1415844,75.79411362,1.417165279,2472.58,2175808.794,120880.5822,,1.687243,2.709890909e-09,3.037454545e-10,,4.204363636e-10
1963,433560.9375,1227664.125,0.5256935954,22.73843765,78.06397456,1.427816868,2473.85,2351545.811,125752.0311,,1.812644,4.863927273e-09,5.790181818e-10,,8.287636364e-10
1964,451610.5312,1289220.5,0.5256935954,23.36065483,80.40673496,1.438548446,2475.13,2503488.358,136079.6699,,1.866311,9.532218182e-09,1.061854545e-09,,1.428690909e-09
1965,483087.3438,1362310.75,0.5256935954,24.01234055,82.82488159,1.449360728,2476.4,2630698.587,146055.1606,,1.91518,1.551345455e-08,1.653090909e-09,,2.282472727e-09
1966,502236.2812,1441968.75,0.5256935954,24.69576073,85.28146281,1.461910367,2477.67,2801141.042,150603.7663,,1.911213,2.283236364e-08,2.422545455e-09,,3.634290909e-09
1967,531033.6875,1509781.625,0.5256935954,25.41167831,87.76580149,1.474568605,2478.95,2965699.843,160401.9317,,1.94193,3.010290909e-08,3.415563636e-09,,4.875781818e-09
1968,590508.4375,1602325.625,0.5256935954,26.15405655,90.27693943,1.487336397,2480.22,3192703.257,168430.2032,,1.903981,4.188036364e-08,4.628436364e-09,,7.825163636e-09
1969,628390.4375,1755663,0.5256935954,26.9343071,92.81388801,1.500214815,2481.5,3452471.281,182864.8514,,1.880269,5.505454545e-08,5.997418182e-09,,1.051829091e-08
1970,697031.625,1899489,0.5256935954,27.75111198,95.375651,1.513204813,2482.77,3722547.278,196760.2339,,1.836374,7.066011048e-08,8.002181818e-09,,1.330836364e-08
1971,776075,2069543.625,0.5256935954,29.48193741,97.739273,1.50219655,2463.72,4048140.283,212104.6488,,1.793551,9.392586015e-08,1.042363636e-08,,1.869818182e-08
1972,868738.375,2272261.5,0.5256935954,31.21224594,100.146797,1.491268396,2444.82,4442402.724,234322.2703,,1.758286,1.260293808e-07,1.357563636e-08,,2.562436364e-08
1973,990101.1875,2526317.75,0.5256935954,35.00514221,102.600976,1.480419874,2426.06,4947386.826,255558.6826,,1.718153,1.861215459e-07,1.843781818e-08,,3.791054545e-08
1974,1070794.375,2814517.75,0.5256935954,35.98379898,105.089675,1.469650149,2407.27,5527296.785,284699.9971,,1.774828,2.709586014e-07,2.528036364e-08,,5.9192e-08
1975,1126154.5,3125674.5,0.5256935954,37.04759979,107.619565,1.458958745,2388.63,6158398.415,317787.5043,,1.880327,3.816427535e-07,3.887054545e-08,,8.903272727e-08
1976,1241698,3450161.75,0.5256935954,38.18738556,110.213349,1.463446856,2370.14,6835587.002,346710.9094,,1.89293,5.941683927e-07,6.231127273e-08,,1.332010909e-07
1977,1302913.75,3750936.25,0.5256935954,42.04817963,112.875292,1.467948794,2351.79,7467875.261,382456.4368,,1.970781,9.065374124e-07,8.545272727e-08,,1.935047273e-07
1978,1367668.375,4061561.75,0.5256935954,43.72942352,115.600942,1.472464561,2333.58,8136541.432,420862.6211,,2.045579,1.315362053e-06,1.273341818e-07,,2.928669091e-07
1979,1460122.75,4376795,0.5256935954,43.12126923,118.380821,1.476994276,2315.51,8802875.794,456303.7364,,2.072976,2.167722187e-06,2.146141818e-07,,5.063956364e-07
1980,1594892,4752166,0.5256935954,42.13004303,121.207461,1.481537819,2297.58,9602615.445,488432.0388,1288171.69,2.070793,4.548293091e-06,4.141818182e-07,,1.071534909e-06
1981,1527109.25,5030963.5,0.5256935954,44.28435135,124.063109,1.507941961,2275.46,10201475.07,522777.6509,1121637.28,2.297583,8.733013818e-06,8.312727273e-07,,2.122909091e-06
1982,1539784.125,5265711,0.5256935954,46.82844162,126.923155,1.534816623,2277.27,10688945.52,545257.3039,1032727.75,2.387555,1.770207927e-05,1.838909091e-06,,4.069090909e-06
1983,1494668.625,5415232.5,0.5256935954,47.72177124,129.790077,1.562170148,2260.01,11005205.1,556323.4611,872583.04,2.532396,3.977684873e-05,4.119272727e-06,,7.929454545e-06
1984,1575380.5,5565121,0.5256935954,49.11199951,132.658864,1.590011239,2264.53,11282936.01,568842.6523,846573.56,2.463287,0.0001265040055,1.163163636e-05,,2.391381818e-05
1985,1699032.25,5752437,0.5256935954,52.12740326,135.515595,1.618348598,2262.24,11638249.98,577340.8376,932654.81,2.355919,0.0004755340422,4.961672727e-05,,8.565018182e-05
1986,1826289.75,6040676.5,0.5256935954,54.53863144,138.33637,1.638026476,2242.6,12215446.45,588889.9783,1166086.45,2.300456,0.001273683928,0.0001421334545,,0.0002549090909
1987,1890757.75,6317081.5,0.5256935954,56.79638672,141.104944,1.657943845,2236.48,12736865.87,615266.2803,1136685.7,2.316867,0.004037805735,0.0005102778182,,0.0009356258182
1988,1889623.25,6558632,0.5256935954,59.01595688,143.826357,1.678103209,2226.39,13190236.86,626977.7711,1080348.76,2.400776,0.02937563025,0.003951052364,,0.007145574545
1989,1949335.5,6802021,0.5256935954,60.14619827,146.502972,1.698507786,2177.73,13653421.57,630665.5945,1093850.31,2.408958,0.4255953104,0.06594781164,,0.1143264629
1990,1864539.25,6993437,0.5256935954,61.6319313,149.143223,1.716691375,2175.06,13984237.48,641943.7566,972759.66,2.579536,11.54879455,2.227868727,,2.386394909
1991,1877728.5,7212156,0.5256935954,61.44888306,151.724256,1.744627118,2180.89,14261091.15,652160.7718,929014.45,2.603729,60.28599927,10.79109527,,10.91723927
1992,1854206.5,7392581,0.5256935954,61.26961136,154.275079,1.773017526,2185.33,14474299.96,656861.1039,870069.91,2.657112,640.9587676,109.3669087,,118.0855047
1993,1937672.125,7600646.5,0.5069774389,61.98217773,156.794577,1.80186975,2157.14,14732164.54,663802.705,921667.29,2.577515,14097.11418,2490.117455,,2718.362909
1994,2044520.75,7878747.5,0.523473978,62.4584198,159.265006,1.83119154,2152.89,15099865.31,676917.5203,1044618.29,2.495773,349204.679,62387.918,,72453.282
1995,2124068.25,8179733.5,0.5720191002,62.93206406,161.735073,1.860990524,2148.95,15611936.18,695378.4606,1207449.34,2.475836,705991.5529,147749.3817,,143219.5476
1996,2170986,8460979,0.563141942,61.78388214,164.202549,1.896448374,2179.05,16032818.77,732415.9141,1153298.5,2.487634,854763.6078,168822.8773,,159333.5248
1997,2244687.5,8777883,0.5401961207,62.79587936,166.661659,1.932581782,2159.82,16503028.59,760264.1831,1230474,2.476517,952089.1961,185993.4312,,182067.0756
1998,2252276.75,9074652,0.5467798114,62.61136627,169.159655,1.969403863,2158.13,16929243.56,785011.9646,1211226.93,2.531917,1002351.019,201177.1779,,185859.4192
1999,2262816,9293648,0.5445691347,65.88960266,171.641543,2.006927252,2129.56,17276080.31,801597.4558,1148434.21,2.571755,1087710.456,215178.396,,185088.0115
2000,2362107.25,9537031,0.5378065109,68.13043976,174.018282,2.045165777,2135.61,17678431.33,824245.3902,1226596.41,2.521028,1199092.071,225043.7502,754332.7115,219487.663
2001,2394938,9778965,0.5451472402,68.45639801,176.301203,2.085902929,2141.22,18058969.5,865682.6553,1246220.83,2.539991,1315755.468,254510.4618,822655.8544,242336.98
2002,2468066.75,10002563,0.5330697894,71.25364685,178.503484,2.127451897,2119.19,18379354.38,905833.5118,1226218.39,2.508459,1488787.255,294923.7283,895614.4328,266883.735
2003,2496223,10191649,0.5295776129,72.30456543,180.622688,2.169828176,2111.86,18620659.54,930938.0123,1172243.17,2.512727,1717950.396,327741.6174,1035030.168,285261.518
2004,2640004.75,10431064,0.5252270699,76.15927124,182.675143,2.213048697,2091.87,18939655.89,946991.7293,1265988.08,2.416579,1957751.213,361549.3482,1147361.768,339087.078
2005,2724541.25,10671937,0.5354456902,78.4147644,184.688101,2.257130146,2077.93,19236502.13,988002.4722,1284848.72,2.378298,2170584.503,410023.4436,1277026.983,370218.886
2006,2832487.25,10945942,0.5404710174,80.87911987,186.653106,2.298808575,2070.85,19584789.08,1019682.076,1367969.03,2.329081,2409449.922,458733.1693,1411686.279,414673.545
2007,3004415.5,11292221,0.5415160656,81.35378265,188.55232,2.34125638,2066.73,20069980.96,1039391.563,1524583.45,2.250197,2720262.938,515299.0714,1585632.304,489532.027
2008,3157466.25,11717546,0.5496699214,82.75995636,190.367302,2.384488344,2066.66,20683407.46,1084629.067,1698055.57,2.206566,3109803.089,585868.0216,1809793.971,602845.578
2009,3153493.75,12089364,0.5624670386,83.15142822,192.079951,2.428518534,2054.3,21196044.35,1156977.016,1669613.91,2.264104,3333039.355,654963.5116,2011763.055,636675.775
2010,3390896,12606681,0.5524567366,86.35385132,193.701929,2.473361731,2051.33,21936797.8,1219353.454,1960106.9,2.179176,3885847,738966,2278735,797946
2011,3525664.5,13162274,0.5570166707,88.62891388,195.284734,2.56089592,2047.9,22698128.85,1332730.466,2094061.52,2.087384,4376382,817038,2573419,901927
2012,3593399,13695775,0.5658205152,89.50627136,196.876111,2.621874332,2032.5,23376514.04,1429086.734,2107471.92,2.109248,4814760,892180,2883929,997460
