trimestre,taxa_desocupacao,procura_menos_de_1_mes,procura_1_mes_a_1_ano,procura_1_a_2_anos,procura_2_anos_ou_mais
201201,8.0,14.8,49.2,12.9,23.0
201202,7.6,12.6,52.9,13.8,20.6
201203,7.1,12.0,53.2,13.7,21.0
201204,6.9,12.7,54.1,14.6,18.6
201301,8.0,14.8,53.9,13.4,17.9
201302,7.5,11.8,56.1,14.2,18.0
201303,7.0,12.7,56.1,14.1,17.2
201304,6.2,13.5,51.9,16.2,18.4
201401,7.2,14.4,52.7,14.5,18.5
201402,6.9,12.5,54.1,15.9,17.5
201403,6.8,11.5,55.1,16.5,17.0
201404,6.6,11.9,54.6,16.0,17.5
201501,8.0,12.9,54.3,15.6,17.2
201502,8.4,10.9,55.4,16.7,17.0
201503,9.0,10.6,55.3,17.2,17.0
201504,9.1,10.6,52.7,18.6,18.0
201601,11.0,11.5,52.3,18.1,18.1
201602,11.4,9.2,52.5,18.2,20.1
201603,11.9,9.8,52.0,18.4,19.8
201604,12.1,10.5,51.0,18.7,19.8
201701,13.9,12.4,49.5,18.0,20.2
201702,13.1,10.8,50.2,17.6,21.5
201703,12.5,11.7,48.7,17.8,21.8
201704,11.9,12.4,47.0,18.2,22.4
201801,13.2,14.8,46.8,16.5,22.0
201802,12.6,14.5,47.1,14.3,24.1
201803,12.0,13.5,46.4,14.8,25.3
201804,11.7,15.0,44.2,15.4,25.4
201901,12.8,15.9,45.5,14.1,24.6
201902,12.1,14.1,45.8,14.1,26.0
201903,11.9,14.5,47.1,13.6,24.9
201904,11.1,16.1,45.0,14.1,24.8
202001,12.4,18.1,45.8,12.5,23.6
202002,13.6,11.7,58.3,11.0,19.1
202003,14.9,9.9,57.8,12.3,19.9
202004,14.2,10.7,53.0,13.9,22.4
202101,14.9,12.3,47.3,17.1,23.4
202102,14.2,10.3,43.5,20.6,25.6
202103,12.7,11.1,40.6,19.5,28.8
202104,11.1,13.2,39.5,17.1,30.2
202201,11.1,17.3,40.8,13.0,28.9
202202,9.3,15.7,42.6,12.2,29.5
202203,8.7,16.6,44.5,11.7,27.2
202204,7.9,19.3,43.6,11.6,25.5
202301,8.8,20.9,45.0,10.4,23.7
202302,8.0,18.7,46.9,11.0,23.5
202303,7.7,19.6,46.9,11.4,22.1
202304,7.4,19.9,46.6,11.2,22.3
202401,7.9,20.7,46.0,11.2,22.1
202402,6.9,19.2,47.9,10.7,22.2
202403,6.4,19.2,49.0,10.9,20.9
202404,6.2,21.7,47.9,10.4,20.0
202501,7.0,21.6,49.6,10.4,18.4
202502,5.8,18.9,50.5,10.5,20.0
202503,5.6,18.6,50.8,11.0,19.5
202504,5.1,20.2,48.8,11.5,19.5
202601,6.1,21.2,51.4,10.9,16.5
202602,5.4,19.7,51.4,10.8,18.0
