unidade,tratamento,pos,y
1,1,0,16.34626035830715
1,1,1,18.5393508406701
2,1,0,15.736350493124698
2,1,1,21.307427685115343
3,1,0,22.971306698194738
3,1,1,26.29267709457406
4,1,0,21.40289680852144
4,1,1,22.86519815218706
5,1,0,18.10609878714699
5,1,1,21.435971174639455
6,1,0,21.92198388443548
6,1,1,27.494949544262774
7,1,0,16.876638681695677
7,1,1,21.078730636333344
8,1,0,14.007110305884577
8,1,1,21.8809507805996
9,1,0,17.413722430875072
9,1,1,23.302874447961067
10,1,0,19.96294980399002
10,1,1,25.63909853719292
11,1,0,19.42310897439469
11,1,1,22.15522114869314
12,1,0,20.591710342694334
12,1,1,25.12264790847789
13,1,0,21.430852646571303
13,1,1,26.66654937846432
14,1,0,19.854202616896586
14,1,1,24.17416565457231
15,1,0,23.543814590171483
15,1,1,24.40349417566712
16,1,0,14.760812430454695
16,1,1,19.53978197387034
17,1,0,14.148377831641545
17,1,1,21.58668317297079
18,1,0,25.48890646270306
18,1,1,28.066961037203765
19,1,0,17.545153977865624
19,1,1,23.4020268477489
20,1,0,17.579604029751007
20,1,1,26.67533936463916
21,1,0,27.059578231549533
21,1,1,28.4742296095027
22,1,0,23.52449758713869
22,1,1,27.728876409197916
23,1,0,24.702052515423247
23,1,1,29.359017155587836
24,1,0,22.42190596211979
24,1,1,23.735302155545355
25,1,0,19.416575293957983
25,1,1,22.83110179577164
26,1,0,27.638942869231027
26,1,1,31.58428075834589
27,1,0,22.79157793199661
27,1,1,25.283720021470362
28,1,0,18.968184775000363
28,1,1,25.7038787874416
29,1,0,18.227179610021555
29,1,1,24.604362117548355
30,1,0,22.457153058396536
30,1,1,25.602131301199687
31,0,0,20.407517281976023
31,0,1,21.600654884430696
32,0,0,17.767617249530925
32,0,1,20.66468022920296
33,0,0,15.886231921657739
33,0,1,20.02853795186376
34,0,0,18.493732712747587
34,0,1,22.489767023557015
35,0,0,24.575939766044254
35,0,1,26.02585942202763
36,0,0,18.849171628750653
36,0,1,19.99119137966729
37,0,0,21.602734765798818
37,0,1,24.46481138165867
38,0,0,23.10159596622949
38,0,1,22.933630132734944
39,0,0,19.368527001183097
39,0,1,20.239555340883204
40,0,0,18.64564489822188
40,0,1,19.010381063651117
41,0,0,18.582981000279037
41,0,1,19.01281287863007
42,0,0,21.14211920121324
42,0,1,20.523169665297694
43,0,0,20.71294203827846
43,0,1,18.313157359302334
44,0,0,10.85726892322464
44,0,1,15.19370157295341
45,0,0,19.916335550960415
45,0,1,23.414036577490847
46,0,0,12.575397512337423
46,0,1,15.823654003396546
47,0,0,16.046947937640017
47,0,1,16.987319829481926
48,0,0,16.827568854232855
48,0,1,20.95818978729417
49,0,0,25.00825118890234
49,0,1,29.869750347559265
50,0,0,22.737265971005495
50,0,1,21.466781456473637
51,0,0,20.941385187102686
51,0,1,26.661453997189735
52,0,0,21.49295992960717
52,0,1,25.507353529948155
53,0,0,18.17987711439516
53,0,1,21.777404428585143
54,0,0,20.511120635081166
54,0,1,21.614234596111398
55,0,0,21.64719822597053
55,0,1,19.604298980758184
56,0,0,20.52668887608315
56,0,1,21.336269302489484
57,0,0,19.950737773395634
57,0,1,20.28450702156553
58,0,0,20.479832823447563
58,0,1,23.382679949845084
59,0,0,18.17549668969199
59,0,1,20.163674022171858
60,0,0,18.062745167313707
60,0,1,18.570824703631416
