ano,massa_ate_p10,massa_p10_p20,massa_p20_p30,massa_p30_p40,massa_p40_p50,massa_p50_p60,massa_p60_p70,massa_p70_p80,massa_p80_p90,massa_p90_p95,massa_p95_p99,massa_acima_p99,gini_renda_domiciliar_pc
2012,1.3,3.2,3.8,5.0,5.4,6.5,7.9,10.3,15.1,11.8,17.6,12.0,0.54
2013,1.3,3.4,3.9,4.6,5.5,6.7,8.0,10.3,14.9,11.9,17.6,11.8,0.532
2014,1.3,3.5,4.0,4.6,5.5,6.6,7.9,10.4,15.0,12.0,17.7,11.4,0.526
2015,1.3,3.4,4.4,4.7,5.5,6.7,8.1,10.4,14.9,12.0,16.9,11.6,0.524
2016,1.3,3.3,4.3,4.4,5.8,6.5,7.8,10.2,15.2,11.9,17.7,11.5,0.537
2017,1.2,3.1,4.2,5.0,5.7,6.4,7.6,10.8,14.9,11.6,17.7,11.6,0.539
2018,1.2,3.0,4.5,4.5,5.5,6.5,8.0,10.3,14.9,11.7,17.6,12.4,0.545
2019,1.2,3.0,4.3,4.6,5.5,6.6,8.3,9.9,14.8,11.7,17.7,12.4,0.543
2020,1.3,3.1,4.4,4.5,5.6,6.6,8.0,10.5,14.8,11.4,17.6,12.1,0.523
2021,1.3,3.1,4.3,4.8,5.4,6.5,8.0,10.3,14.8,11.7,18.0,11.6,0.543
2022,1.4,3.3,4.5,4.7,5.7,6.7,8.2,10.4,15.3,11.6,17.2,11.0,0.517
2023,1.3,3.3,4.4,4.7,5.5,6.6,8.1,10.3,15.0,11.8,17.3,11.6,0.517
2024,1.3,3.3,4.4,4.8,5.5,6.6,8.5,10.6,15.0,12.0,17.0,10.9,0.504
2025,1.3,3.4,4.3,4.6,5.9,6.1,8.5,10.4,15.1,12.1,17.1,11.1,0.511
