firma,ano,investimento,vendas
1,1,31.18703155409938,87.94268618783545
1,2,32.80314912291637,86.80732306220384
1,3,38.16139672855671,95.55981002458898
1,4,44.09239156451978,102.01971119569808
1,5,37.774306827392984,98.8810315282136
1,6,41.0239138374382,112.83478681543988
1,7,40.05773163132029,101.92055279392847
1,8,47.17611488551288,119.2315815796625
1,9,49.86641872420142,109.97280417349845
1,10,48.98962939785945,118.44960528037804
2,1,26.773594841328126,55.83163987801841
2,2,22.730072373796492,53.19750314843375
2,3,24.353370760760146,62.78275872689209
2,4,24.48108998507174,63.8079578897687
2,5,32.48682544522579,66.50530007217604
2,6,34.502477586487075,74.72230893496712
2,7,32.02097933240472,69.61879808175244
2,8,29.379889232061352,69.61463479142135
2,9,29.835457176582313,64.98496440393511
2,10,24.801907712354215,66.13907708448762
3,1,52.43216505269331,117.78538283788401
3,2,47.82196669866176,123.2640782936979
3,3,45.49273906586297,119.13548770667546
3,4,51.742611128761745,123.03230335188165
3,5,52.43362612107488,128.1613776148931
3,6,51.027309825049706,132.44362683634458
3,7,46.84325687160552,126.26462996526804
3,8,65.69377631922688,152.35570093298884
3,9,62.26853753955736,153.4920923598742
3,10,53.995928553345806,138.03622017261742
4,1,37.6354557205157,90.43728487136299
4,2,41.614305093404454,89.3767070910148
4,3,38.02353083201885,95.65563583780505
4,4,36.36436741205096,95.34427502153414
4,5,42.10148888154884,103.01504005351067
4,6,43.50083285864349,95.91887203599389
4,7,33.88727563753221,97.81738370080123
4,8,39.99701945189911,106.85655043216299
4,9,44.09468483100932,101.09034685909123
4,10,48.670514165711786,123.03046001351935
5,1,37.33542066117397,81.17110005210182
5,2,32.52271741227583,80.84876886228079
5,3,32.357462194751314,86.889600233616
5,4,42.501368831862266,85.23540100313873
5,5,36.762661564848,91.9250633287263
5,6,39.106036201285164,93.26108718127283
5,7,33.79480996779538,87.2561574249844
5,8,34.980934327252044,93.2834781120643
5,9,47.38030788395106,120.28459962011067
5,10,42.49728513618248,104.81321620233783
6,1,50.95323627912642,141.00755739928908
6,2,64.89046151209367,144.4069473528489
6,3,54.855162162973556,138.54503611729785
6,4,56.7451752469474,147.6713193038521
6,5,59.82566200312856,156.35412288396495
6,6,54.52657561624237,142.0715394623337
6,7,54.56365651654673,144.54289277442723
6,8,63.80937771103002,162.32652166197934
6,9,60.42516983164865,155.0310889728538
6,10,68.92973737366381,177.02279026417852
7,1,31.455926088606127,75.71045068833419
7,2,31.30589485475681,77.9555295708758
7,3,38.554117438061155,84.13192446382395
7,4,37.21737535511826,80.98299224529606
7,5,41.719604598509015,93.66883885770677
7,6,40.032084930768875,92.20408073152504
7,7,45.519199549403986,94.10951547016943
7,8,41.759830422802196,94.42343929082027
7,9,34.47945392716327,90.72175458060568
7,10,39.8199233399945,102.40147528096541
8,1,32.03973596366679,86.51659629096704
8,2,38.91049473347807,91.4268400703078
8,3,39.845593890972864,94.84135218698076
8,4,43.355740375936946,100.69995716538484
8,5,38.217878722049,99.29589303139501
8,6,44.53104439968514,103.98050098260083
8,7,49.48045332575627,113.43729766490621
8,8,42.761404352150365,99.94321824835652
8,9,46.85793658690673,124.45541296324838
8,10,53.50180728738159,127.49353218824167
9,1,50.21862114166413,129.57704808406112
9,2,58.10969831717063,131.5156996316687
9,3,55.55392214062712,131.5083489933832
9,4,63.88864946078991,142.50634514913304
9,5,60.579310169478404,141.9227721122882
9,6,59.06473351925217,139.80545331241782
9,7,62.24525174377534,144.4161957942341
9,8,61.26832390298859,146.3190971717736
9,9,59.371660906644195,144.44191147795547
9,10,63.017871487920175,144.95229097751556
10,1,39.91280121635735,96.75331481519328
10,2,45.55122596853032,98.93957605089156
10,3,46.596302199855685,101.45920068859593
10,4,54.150388334783834,109.31297264256962
10,5,49.8456195731098,103.97654127960162
10,6,52.462128795567466,112.72809191067037
10,7,45.47708518951107,117.09669756037475
10,8,50.63659250108018,114.05447248981032
10,9,46.09844210117944,123.9662810858991
10,10,58.219618302938564,133.4980525276775
11,1,27.48119913185059,59.31720326896178
11,2,29.914643182216214,62.46213884330495
11,3,29.61366374758252,64.20935482380455
11,4,30.996263922983736,65.23292156924391
11,5,31.822339542320915,64.98547222039716
11,6,28.960042169338696,75.16751208394331
11,7,39.85638984206573,85.6712365369817
11,8,44.21356817656054,94.01580539584585
11,9,45.52796892266133,95.31904431465827
11,10,37.815425729187105,90.6475831442337
12,1,55.505340712001086,122.7460758173673
12,2,55.42206385264085,125.61856530235681
12,3,56.139685426800305,131.34197512986282
12,4,56.9146102276364,136.83364259786057
12,5,53.33695991006445,128.2591360330219
12,6,62.4882371251544,143.7652394784715
12,7,57.2024203209387,135.5865586165337
12,8,62.51410523833511,148.7810360692713
12,9,68.5338965483634,162.3278845301377
12,10,70.59084586625416,150.90937238043634
